BlockID,PLZ,Ort,Straße und Hausnummer (Standort Kraftwerk),Bundesland,Blockname,Nettoleistung
BNA0615,67056,Ludwigshafen,C 200,Rheinland-Pfalz,"GUD C 200
GT 1, GT 2, DT 1",390.0
BNA1196a,67065,Ludwigshafen,Giulinistraße 2,Rheinland-Pfalz,BHKW ,12.5
BNA1196b,67065,Ludwigshafen,Giulinistr. 2,Rheinland-Pfalz,GuD,12.0
BNA0626,55120,Mainz,,Rheinland-Pfalz,KW3,434.2
BNA0627,55120,Mainz,,Rheinland-Pfalz,KW2,335.0
BNA1200,68305,Mannheim,,Baden-Württemberg,,17.2
BNA0658,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 311,61.1
BNA0659,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 312,77.6
BNA1676,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,1,60.6
BNA0660,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 4 ,55.3
BNA0661,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 3,60.4
BNA0662a,45772,Marl,Paul-Baumann-Str. 1,Nordrhein-Westfalen,Block 5 ,60.2
BNA1523a,56727,Mayen,Polcher Str. 113,Rheinland-Pfalz,"Block 1 (Kessel2, GT 1, DT 2)",42.0
BNA1332,47443,Moers,Römerstr. 733,Nordrhein-Westfalen,TG7/8,24.0
BNA1396,1468,Moritzburg,"Boxdorf, Ringstr. 3",Sachsen,EVC I,34.3
BNA0683a,81371,München,,Bayern,1,79.7
BNA0683b,81371,München,,Bayern,1,97.9
BNA0683c,81371,München,,Bayern,1,97.9
BNA0684a,81371,München,,Bayern,2,124.9
BNA0684b,81371,München,,Bayern,2,123.9
BNA0684c,81371,München,,Bayern,2,127.6
BNA1327a,85326,München,nicht öffentlicher Bereich (Btl. 145.01),Bayern,AGG1 -  AGG7,11.1
BNA1327b,85326,München,nicht öffentlicher Bereich (Btl. 145.01),Bayern,AGG8 - AGG9,7.4
BNA1678,85326,München,,Bayern,,17.2
BNA0685,48145,Münster,,Nordrhein-Westfalen,GuD,100.2
BNA0686,74382,Neckarwestheim,Im Steinbruch,Baden-Württemberg,GKN II,1310.0
BNA0688,17034,Neubrandenburg,,Mecklenburg-Vorpommern,,75.0
BNA1406,41460,Neuss,Düsseldorfer Str. 182-184,Nordrhein-Westfalen,,18.9
BNA0702,93328,Neustadt,Postfach 1252,Bayern,,25.4
BNA1498,31171,Nordstemmen,Calenberger Str. 36,Niedersachsen,,30.6
BNA1402,49638,Nortrup,Hauptstrasse 15,Niedersachsen,,18.1
BNA0734,15806,Nunsdorf,,Brandenburg,GT E,37.5
BNA0738,15806,Nunsdorf,,Brandenburg,GT A,36.5
BNA0739,15806,Nunsdorf,,Brandenburg,GT B,36.5
BNA0740,15806,Nunsdorf,,Brandenburg,GT C,36.5
BNA0741,15806,Nunsdorf,,Brandenburg,GT D,36.5
BNA0742,90441,Nürnberg,Sandreuthstr. 51,Bayern,GuD 1,75.0
BNA0743,90441,Nürnberg,Sandreuthstr. 51,Bayern,GuD 2,75.0
BNA0744,90449,Nürnberg,,Bayern,1,383.0
BNA0745,90449,Nürnberg,,Bayern,2,440.0
BNA1444a,90471,Nürnberg,Breslauer Str. 300,Bayern,,4.2
BNA1444b,90471,Nürnberg,Breslauer Str. 300,Bayern,,4.2
BNA1444c,90471,Nürnberg,Breslauer Str. 300,Bayern,,5.1
BNA1444d,90471,Nürnberg,Breslauer Str. 300,Bayern,,5.1
BNA0752,46045,Oberhausen,,Nordrhein-Westfalen,HKW 1,23.1
BNA0753,46147,Oberhausen,,Nordrhein-Westfalen,HKW 2,24.5
BNA1467,77704,Oberkirch,Hauptstraße 2-4,Baden-Württemberg,,20.0
BNA0755a,63784,Obernburg,,Bayern,2,36.0
BNA0755b,63784,Obernburg,,Bayern,1,64.0
BNA1516,67283,Obrigheim,Wormser Straße 11,Rheinland-Pfalz,,30.0
BNA1225,82380,Peißenberg,,Bayern,MHKW 2,5.3
BNA1226,82380,Peißenberg,,Bayern,MHKW 1,5.3
BNA0800,75175,Pforzheim,Hohwiesenweg 15,Baden-Württemberg,Kombiblock/GuD,41.2
BNA0802,76661,Philippsburg,Rheinschanzinsel,Baden-Württemberg,KKP 2,1402.0
BNA0804a,36269,Philippsthal,,Hessen,Hattorf,35.0
BNA0804b,36269,Philippsthal,,Hessen,Hattorf,17.3
BNA0805,94447,Plattling,,Bayern,,97.9
BNA0814,14478,Potsdam,,Brandenburg,Gesamtanlage,81.8
BNA1328,83064,Raubling,Rosenheimer Str. 37,Bayern,GUD,24.0
BNA1238,83512,Reitmehring,Megglestraße 6 - 12,Bayern,,15.1
BNA0832,72762,Reutlingen,Hauffstraße 89 m,Baden-Württemberg,Motorenanlage,9.8
BNA0834,47495,Rheinberg,,Nordrhein-Westfalen,,79.0
BNA1408,79618,Rheinfelden,Untere Kanalstraße 3,Baden-Württemberg,,16.0
BNA0842a,83022,Rosenheim,Färberstraße 47,Bayern,Gasmotore 1-3,9.8
BNA0842b,83022,Rosenheim,Färberstraße 47,Bayern,Gasmotor 4,9.2
BNA0843,83026,Rosenheim,Oberaustraße 12,Bayern,Gasmotor 5,4.3
BNA0848,18069,Rostock,,Mecklenburg-Vorpommern,,108.0
BNA0856,7407,Rudolstadt,,Thüringen,,26.5
BNA0857,65429,Rüsselheim,,Hessen,M120,112.1
BNA0861a,66121,Saarbrücken,,Saarland,GuD-Anlage,75.0
BNA1464,66117,Saarbrücken,Untertürkheimer Straße 5,Saarland,,38.6
BNA0861b,66121,Saarbrücken,,Saarland,Kohleanlage,50.0
BNA1248a,86956,Schongau,Friedrich-Haindl-Strasse 10,Bayern,Dampfkraftwerk,82.0
BNA1248b,86956,Schongau,Friedrich-Haindl-Strasse 10,Bayern,HKW 3,65.0
BNA0893,1987,Schwarzheide,Schipkauer Str.1,Brandenburg,,122.0
BNA0896,19061,Schwerin,,Mecklenburg-Vorpommern,,44.9
BNA0897,19057,Schwerin,,Mecklenburg-Vorpommern,,23.0
BNA1486,6317,Seegebiet Mansfelder Land,Chausseestraße 1,Sachsen-Anhalt,,45.0
BNA1260,71059,Sindelfingen,,Baden-Württemberg,Sammelschienen-HKW,95.0
BNA0918b,21683,Stade,Bützflethersand,Niedersachsen,Cogen Dow Stade,173.0
BNA1437,21683,Stade- Bützfleth,Johann- Rathje- Köser- Straße,Niedersachsen,GT 1/2,30.7
BNA0922,39418,Staßfurt,Athenslebener Weg 57,Sachsen-Anhalt,,123.0
BNA1403,29416,Steinitz,Bobbenmärsche 11 ,Sachsen-Anhalt,GUD,11.4
BNA1489,39576,Stendal,Schillerstraße,Sachsen-Anhalt,,22.0
BNA0926b,63811,Stockstadt,Obernburger Straße 1-9,Bayern,Konventionelles Sammelschienenkraftwerk,24.8
BNA1333a,70569,Stuttgart,Pfaffenwaldring 8,Baden-Württemberg,Anlage 40,12.2
BNA1333b,70569,Stuttgart,Pfaffenwaldring 8,Baden-Württemberg,Block 50,11.3
BNA1333c,70569,Stuttgart,Pfaffenwaldring 8,Baden-Württemberg,Block 60,11.6
BNA0934,70376,Stuttgart,Langwiesenweg 23,Baden-Württemberg,GAI DT 14 neu,22.6
BNA0935,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN DT12,45.0
BNA0936,70376,Stuttgart,Voltastraße 45,Baden-Württemberg,MÜN DT15,45.0
BNA1264,98528,Suhl,Fröhliche-Mann-Straße 2,Thüringen,,13.5
BNA0196,6682,Teuchern,,Sachsen-Anhalt,,67.0
BNA0957,72072,Tübingen,,Baden-Württemberg, -,13.4
BNA1500,29525,Uelzen,An der Zuckerfabrik 1,Niedersachsen,,40.0
BNA1405a,89077,Ulm,Magirusstr. 21,Baden-Württemberg,,20.7
BNA1271,36414,Unterbreizbach,,Thüringen,Unterbreizbach,33.6
BNA1335a,26316,Varel,Dangaster Straße 38,Niedersachsen,KWK-Blöcke,58.1
BNA1335b,26316,Varel,Dangaster Straße 38,Niedersachsen,Kondensationsturbine,0.5
BNA0993,85088,Vohburg,,Bayern,3,415.0
BNA0994,85088,Vohburg,,Bayern,5,846.0
BNA0995,85088,Vohburg,,Bayern,4,545.0
BNA1002,6679,Wählitz,,Sachsen-Anhalt,,31.0
BNA1005,74399,Walheim,Mühlstraße,Baden-Württemberg,WAL 1,96.0
BNA1006,74399,Walheim,Mühlstraße,Baden-Württemberg,WAL 2,148.0
BNA1407,9600,Weißenborn,Fabrikstraße 1,Sachsen,,13.5
BNA1039,59368,Werne,,Nordrhein-Westfalen,F1,55.0
BNA1040,59368,Werne,,Nordrhein-Westfalen,G1,55.0
BNA1041,59368,Werne,,Nordrhein-Westfalen,H1,55.0
BNA1042,59368,Werne,,Nordrhein-Westfalen,I1,55.0
BNA1043,59368,Werne,,Nordrhein-Westfalen,I2,355.0
BNA1044,59368,Werne,,Nordrhein-Westfalen,F2,355.0
BNA1045,59368,Werne,,Nordrhein-Westfalen,G2,355.0
BNA1046b,59368,Werne,,Nordrhein-Westfalen,K1 ,112.0
BNA1279,50389,Wesseling,,Nordrhein-Westfalen,D290,51.9
BNA1056,65203,Wiesbaden,,Hessen,Block 1,25.0
BNA1465b,37213,Witzenhausen,Kasseler Landstr. 23,Hessen,,13.2
BNA1504,76742,Woerth,Daimler Str. 1,Rheinland-Pfalz,,13.0
BNA1074,6766,Wolfen,,Sachsen-Anhalt,,40.0
BNA1677,38436,Wolfsburg,Berliner Ring,Niedersachsen,,10.4
BNA1075a,38436,Wolfsburg,,Niedersachsen,Generator A,61.5
BNA1075b,38436,Wolfsburg,,Niedersachsen,Generator B,61.5
BNA1076a,38436,Wolfsburg,,Niedersachsen,Block 1,138.5
BNA1076b,38436,Wolfsburg,,Niedersachsen,Block 2,138.5
BNA1284,67547,Worms,In der Hollerhecke 1,Rheinland-Pfalz,-,11.5
BNA1078,76744,Wörth,Am Oberwald 2,Rheinland-Pfalz,,59.0
BNA1285,31515,Wunstorf,,Niedersachsen,Sigmundshall,19.0
BNA1082,42275,Wuppertal,,Nordrhein-Westfalen,Block 1,82.0
BNA1085,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,TSIII,23.0
BNA1086,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,TSII,25.0
BNA1087,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,GTII,29.5
BNA1088,97080,Würzburg,Veitshöchheimer Str. 1,Bayern,GTI,44.5
BNA1400a,6712,Zeitz,Albrechtstr. 54,Sachsen-Anhalt,WSK,18.5
BNA1461,6712,Zeitz,Albrechtstr. 54,Sachsen-Anhalt,,17.5
BNA1089,39326,Zielitz,,Sachsen-Anhalt,Zielitz,52.0
BNA1097,53909,Zülpich,Bessenicher Weg,Nordrhein-Westfalen,K06,19.5
BNA1094,53910,Zülpich,Bessenicher Weg,Nordrhein-Westfalen,GKW,15.1
BNA1557,8056,Zwickau,Glauchauer Str. 40,Sachsen,,12.9
BNA0574b,31628,Landesbergen,,Niedersachsen,Dampfturbine,431.0
BNA1337a,63741,Aschaffenburg,Weichertstr. 7,Bayern,Heizkraftwerk,27.0
BNA0118,53121,Bonn,,Nordrhein-Westfalen,Heizkraftwerk Süd,14.4
BNA0812,32457,Porta Westfalica,,Nordrhein-Westfalen,2,93.0
BNA0011,79774,Albbruck,,Baden-Württemberg,,28.0
BNA0913,2979,Spreetal,Südstraße,Sachsen,GuD,50.0
BNA0680,4613,Mumsdorf,,Sachsen-Anhalt,,60.0
BNA0059a,34225,Baunatal,,Hessen,Turbine 1,12.2
BNA0448,44652,Herne,,Nordrhein-Westfalen,,132.0
BNA1275,69469,Weinheim,Höhnerweg 2-4,Baden-Württemberg,2,21.0
BNA1276,69469,Weinheim,Höhnerweg 2-4,Baden-Württemberg,1,21.0
BNA0203,44357,Dortmund,,Nordrhein-Westfalen,C,345.0
BNA0918a,21683,Stade,Bützflethersand,Niedersachsen,Kraftwärmekopplungsanlage,190.0
BNA0933,70376,Stuttgart,Langwiesenweg 23,Baden-Württemberg,GAI GT 13,55.0
BNA0099,33649,Bielefeld,,Nordrhein-Westfalen,GT Ummeln,55.0
BNA0355,97506,Grafenrheinfeld,,Bayern,KKG,1275.0
BNA0813,32457,Porta Westfalica,,Nordrhein-Westfalen,3,303.0
BNA0810,32457,Porta Westfalica,,Nordrhein-Westfalen,4 GT,65.0
BNA0811,32457,Porta Westfalica,,Nordrhein-Westfalen,4 DT,335.0
BNA0681,80807,München,,Bayern,1,80.0
BNA0682,80807,München,,Bayern,2,80.0
BNA0922a,39418,Staßfurt,Athenslebener Weg 57,Sachsen-Anhalt,,9.0
BNA0080,12207,Berlin,Ostpreußendamm 61,Berlin,Lichterfelde 2,144.0
BNA0799,75175,Pforzheim,Hohwiesenweg 15,Baden-Württemberg,Gaskesselanlage,11.3
BNA0735,15806,Nunsdorf,,Brandenburg,GT F,37.5
BNA0736,15806,Nunsdorf,,Brandenburg,GT G,37.5
BNA0737,15806,Nunsdorf,,Brandenburg,GT H,37.5
